id,title,description,availability,condition,link,image_link,brand,google_product_category,fb_product_category,price,color,pattern,size,material
WPJ-001-M,Women Bear Printed White Lounge Wear,Women Bear Printed White Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Bear+Printed+White+Lounge+Wear?id=26,https://www.adoreaboo.com/aalam/stock/item/26/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,850.0 INR,White,Animals,M,Cotton
WPJ-001-L,Women Bear Printed White Lounge Wear,Women Bear Printed White Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Bear+Printed+White+Lounge+Wear?id=27,https://www.adoreaboo.com/aalam/stock/item/27/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,950.0 INR,White,Animals,L,Cotton
WPJ-001-XL,Women Bear Printed White Lounge Wear,Women Bear Printed White Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Bear+Printed+White+Lounge+Wear?id=28,https://www.adoreaboo.com/aalam/stock/item/28/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,950.0 INR,White,Animals,XL,Cotton
WPJ-009-S,Women Cute Bear Printed Green Lounge Wear,Women Cute Bear Printed Green Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Cute+Bear+Printed+Green+Lounge+Wear?id=29,https://www.adoreaboo.com/aalam/stock/item/29/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,850.0 INR,Green,Animals,S,Cotton
WPJ-009-M,Women Cute Bear Printed Green Lounge Wear,Women Cute Bear Printed Green Lounge Wear,out of stock,new,https://www.adoreaboo.com/store/item/Women+Cute+Bear+Printed+Green+Lounge+Wear?id=30,https://www.adoreaboo.com/aalam/stock/item/30/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,850.0 INR,Green,Animals,M,Cotton
WPJ-009-L,Women Cute Bear Printed Green Lounge Wear,Women Cute Bear Printed Green Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Cute+Bear+Printed+Green+Lounge+Wear?id=31,https://www.adoreaboo.com/aalam/stock/item/31/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,950.0 INR,Green,Animals,L,Cotton
WPJ-009-XL,Women Cute Bear Printed Green Lounge Wear,Women Cute Bear Printed Green Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Cute+Bear+Printed+Green+Lounge+Wear?id=32,https://www.adoreaboo.com/aalam/stock/item/32/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,950.0 INR,Green,Animals,XL,Cotton
WPJ-008-S,Women Dotted Printed Navy Blue Lounge Wear,Women Dotted Printed Navy Blue Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Dotted+Printed+Navy+Blue+Lounge+Wear?id=33,https://www.adoreaboo.com/aalam/stock/item/33/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,850.0 INR,Navy Blue,Dots,S,Cotton
WPJ-008-M,Women Dotted Printed Navy Blue Lounge Wear,Women Dotted Printed Navy Blue Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Dotted+Printed+Navy+Blue+Lounge+Wear?id=34,https://www.adoreaboo.com/aalam/stock/item/34/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,850.0 INR,Navy Blue,Dots,M,Cotton
WPJ-008-L,Women Dotted Printed Navy Blue Lounge Wear,Women Dotted Printed Navy Blue Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Dotted+Printed+Navy+Blue+Lounge+Wear?id=35,https://www.adoreaboo.com/aalam/stock/item/35/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,950.0 INR,Navy Blue,Dots,L,Cotton
