ID,ITEM NAME,ITEM TYPE,ITEM CODE,SALE PRICE,SALE DISCOUNT RATE,SALE DISCOUNT PRICE,SALE DISCOUNT MODE,CURRENT STOCK,IS PUBLIC,PROPERTY:Colour,PROPERTY:Fabric,PROPERTY:Feeding Maxi,PROPERTY:Neck,PROPERTY:Size,PROPERTY:Skirt Length,PROPERTY:Sleeve Type,PROPERTY:Total Length,PROPERTY:__category
"77","Candy","Saree Contours","HPINKS02","1190.00","25.00","297.50","rate","","True","Candy",,,,"Skubby","Mini",,,"Saree Contours"
"78","Candy","Saree Contours","HPINKS03","1190.00","25.00","297.50","rate","","True","Candy",,,,"Skubby","Maxi",,,"Saree Contours"
"79","Candy","Saree Contours","HPINKX01","1190.00","25.00","297.50","rate","30.0","True","Candy",,,,"Skinny","Micro",,,"Saree Contours"
"80","Candy","Saree Contours","HPINKS01","1190.00","25.00","297.50","rate","17.0","True","Candy",,,,"Skubby","Micro",,,"Saree Contours"
"81","Candy","Saree Contours","HPINKM02","1190.00","25.00","297.50","rate","","True","Candy",,,,"Plumpy","Mini",,,"Saree Contours"
"82","Candy","Saree Contours","HPINKM01","1190.00","25.00","297.50","rate","63.0","True","Candy",,,,"Plumpy","Micro",,,"clearout,Saree Contours"
"83","Candy","Saree Contours","HPINKM03","1190.00","25.00","297.50","rate","","True","Candy",,,,"Plumpy","Maxi",,,"Saree Contours"
"92","Cinderella","Ready to Wear Blouses","CINDPINEXL","690.00","25.00","172.50","rate","38.0","True","Pine",,,,"XL",,,,
"93","Cinderella","Ready to Wear Blouses","CINDPINEX","690.00","25.00","172.50","rate","28.0","True","Pine",,,,"XS",,,,
"94","Cinderella","Ready to Wear Blouses","CINDGREENX","690.00","25.00","172.50","rate","27.0","True","Green",,,,"XS",,,,
"95","Cinderella","Ready to Wear Blouses","CINDPINES","690.00","25.00","172.50","rate","1.0","True","Pine",,,,"S",,,,
"96","Cinderella","Ready to Wear Blouses","CINDPINEM","690.00","25.00","172.50","rate","6.0","True","Pine",,,,"M",,,,
"97","Cinderella","Ready to Wear Blouses","CINDGREENXL","690.00","25.00","172.50","rate","39.0","True","Green",,,,"XL",,,,
"98","Cinderella","Ready to Wear Blouses","CINDPINEL","690.00","25.00","172.50","rate","50.0","True","Pine",,,,"L",,,,
"99","Cinderella","Ready to Wear Blouses","CINDGREENS","690.00","25.00","172.50","rate","14.0","True","Green",,,,"S",,,,
"100","Cinderella","Ready to Wear Blouses","CINDGREENM","690.00","25.00","172.50","rate","25.0","True","Green",,,,"M",,,,
"101","Cinderella","Ready to Wear Blouses","CINDGREENL","690.00","25.00","172.50","rate","35.0","True","Green",,,,"L",,,,
"102","Cinderella","Ready to Wear Blouses","CINDFIREX","690.00","25.00","172.50","rate","","True","Fireball",,,,"XS",,,,
"103","Cinderella","Ready to Wear Blouses","CINDFIREXL","690.00","25.00","172.50","rate","28.0","True","Fireball",,,,"XL",,,,
"104","Cinderella","Ready to Wear Blouses","CINDFIRES","690.00","25.00","172.50","rate","4.0","True","Fireball",,,,"S",,,,
"105","Cinderella","Ready to Wear Blouses","CINDFIREM","690.00","25.00","172.50","rate","","True","Fireball",,,,"M",,,,
"106","Cinderella","Ready to Wear Blouses","CINDFIREL","690.00","25.00","172.50","rate","","True","Fireball",,,,"L",,,,
"107","Cinderella","Ready to Wear Blouses","CINDDENIMXL","690.00","25.00","172.50","rate","1.0","True","Denim",,,,"XL",,,,
"108","Cinderella","Ready to Wear Blouses","CINDDENIMX","690.00","25.00","172.50","rate","14.0","True","Denim",,,,"XS",,,,
"109","Cinderella","Ready to Wear Blouses","CINDDENIMS","690.00","25.00","172.50","rate","10.0","True","Denim",,,,"S",,,,
"110","Cinderella","Ready to Wear Blouses","CINDDENIMM","690.00","25.00","172.50","rate","","True","Denim",,,,"M",,,,
"111","Cinderella","Ready to Wear Blouses","CINDDENIML","690.00","25.00","172.50","rate","1.0","True","Denim",,,,"L",,,,
