id,title,description,availability,condition,link,image_link,brand,google_product_category,fb_product_category,sale price,price
1-CRF-12-202,Stars in Green-Cap Sleeve Frock,Stars in Green-Cap Sleeve Frock,out of stock,new,https://www.beelittle.in/store/item/Stars+in+Green?id=36,https://www.beelittle.in/aalam/stock/item/36/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,249.5 INR,499.0 INR
1-CRF-612-202,Stars in Green-Cap Sleeve Frock,Stars in Green-Cap Sleeve Frock,out of stock,new,https://www.beelittle.in/store/item/Stars+in+Green?id=37,https://www.beelittle.in/aalam/stock/item/37/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,224.5 INR,449.0 INR
1-CRF-23-202,Stars in Green-Cap Sleeve Frock,Stars in Green-Cap Sleeve Frock,out of stock,new,https://www.beelittle.in/store/item/Stars+in+Green?id=38,https://www.beelittle.in/aalam/stock/item/38/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,249.5 INR,499.0 INR
1-CRF-23-203,Button Love-Cap Sleeve Frock,Button Love-Cap Sleeve Frock,out of stock,new,https://www.beelittle.in/store/item/Button+Love?id=39,https://www.beelittle.in/aalam/stock/item/39/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,499.0 INR
1-CRF-36-203,Button Love-Cap Sleeve Frock,Button Love-Cap Sleeve Frock,out of stock,new,https://www.beelittle.in/store/item/Button+Love?id=40,https://www.beelittle.in/aalam/stock/item/40/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,449.0 INR
1-CRF-12-203,Button Love-Cap Sleeve Frock,Button Love-Cap Sleeve Frock,out of stock,new,https://www.beelittle.in/store/item/Button+Love?id=41,https://www.beelittle.in/aalam/stock/item/41/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,499.0 INR
1-CRF-612-203,Button Love-Cap Sleeve Frock,Button Love-Cap Sleeve Frock,out of stock,new,https://www.beelittle.in/store/item/Button+Love?id=42,https://www.beelittle.in/aalam/stock/item/42/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,449.0 INR
2-SFR-23-201,Mustard Flowers-2-Pack Sleeveless Frock,Mustard Flowers-2-Pack Sleeveless Frock,out of stock,new,https://www.beelittle.in/store/item/Mustard+Flowers?id=43,https://www.beelittle.in/aalam/stock/item/43/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,849.0 INR
2-SFR-12-201,Mustard Flowers-2-Pack Sleeveless Frock,Mustard Flowers-2-Pack Sleeveless Frock,out of stock,new,https://www.beelittle.in/store/item/Mustard+Flowers?id=44,https://www.beelittle.in/aalam/stock/item/44/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,799.0 INR
2-SFR-612-201,Mustard Flowers-2-Pack Sleeveless Frock,Mustard Flowers-2-Pack Sleeveless Frock,out of stock,new,https://www.beelittle.in/store/item/Mustard+Flowers?id=45,https://www.beelittle.in/aalam/stock/item/45/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,799.0 INR
2-SFR-23-202,Colourful Stripes-2-Pack Sleeveless Frock,Colourful Stripes-2-Pack Sleeveless Frock,out of stock,new,https://www.beelittle.in/store/item/Colourful+Stripes?id=46,https://www.beelittle.in/aalam/stock/item/46/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,849.0 INR
2-SFR-12-202,Colourful Stripes-2-Pack Sleeveless Frock,Colourful Stripes-2-Pack Sleeveless Frock,out of stock,new,https://www.beelittle.in/store/item/Colourful+Stripes?id=47,https://www.beelittle.in/aalam/stock/item/47/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,799.0 INR
2-SFR-612-202,Colourful Stripes-2-Pack Sleeveless Frock,Colourful Stripes-2-Pack Sleeveless Frock,out of stock,new,https://www.beelittle.in/store/item/Colourful+Stripes?id=48,https://www.beelittle.in/aalam/stock/item/48/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,799.0 INR
2-SFR-23-203,Navy Combo-2-Pack Sleeveless Frock,Navy Combo-2-Pack Sleeveless Frock,out of stock,new,https://www.beelittle.in/store/item/Navy+Combo?id=49,https://www.beelittle.in/aalam/stock/item/49/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,849.0 INR
2-SFR-12-203,Navy Combo-2-Pack Sleeveless Frock,Navy Combo-2-Pack Sleeveless Frock,out of stock,new,https://www.beelittle.in/store/item/Navy+Combo?id=50,https://www.beelittle.in/aalam/stock/item/50/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,799.0 INR
2-SFR-612-203,Navy Combo-2-Pack Sleeveless Frock,Navy Combo-2-Pack Sleeveless Frock,out of stock,new,https://www.beelittle.in/store/item/Navy+Combo?id=51,https://www.beelittle.in/aalam/stock/item/51/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,799.0 INR
2-SFR-23-204,Rainbows-2-Pack Sleeveless Frock,Rainbows-2-Pack Sleeveless Frock,out of stock,new,https://www.beelittle.in/store/item/Rainbows?id=52,https://www.beelittle.in/aalam/stock/item/52/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,849.0 INR
2-SFR-12-204,Rainbows-2-Pack Sleeveless Frock,Rainbows-2-Pack Sleeveless Frock,out of stock,new,https://www.beelittle.in/store/item/Rainbows?id=53,https://www.beelittle.in/aalam/stock/item/53/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,799.0 INR
2-SFR-612-204,Rainbows-2-Pack Sleeveless Frock,Rainbows-2-Pack Sleeveless Frock,out of stock,new,https://www.beelittle.in/store/item/Rainbows?id=54,https://www.beelittle.in/aalam/stock/item/54/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,799.0 INR
01-HERJ-03-001 - 1,Woad Blue - 1-Herbal Dyed Organic Cotton Jabla,Woad Blue - 1-Herbal Dyed Organic Cotton Jabla,out of stock,new,https://www.beelittle.in/store/item/Woad+Blue+-+1?id=55,https://www.beelittle.in/aalam/stock/item/55/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,279.3 INR,399.0 INR
01-HERJ-NB-001 - 1,Woad Blue - 1-Herbal Dyed Organic Cotton Jabla,Woad Blue - 1-Herbal Dyed Organic Cotton Jabla,out of stock,new,https://www.beelittle.in/store/item/Woad+Blue+-+1?id=56,https://www.beelittle.in/aalam/stock/item/56/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,244.3 INR,349.0 INR
01-HERJ-03-002 - 1,Cranberry - 1-Herbal Dyed Organic Cotton Jabla,Cranberry - 1-Herbal Dyed Organic Cotton Jabla,out of stock,new,https://www.beelittle.in/store/item/Cranberry+-+1?id=57,https://www.beelittle.in/aalam/stock/item/57/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,279.3 INR,399.0 INR
01-HERJ-NB-002 - 1,Cranberry - 1-Herbal Dyed Organic Cotton Jabla,Cranberry - 1-Herbal Dyed Organic Cotton Jabla,out of stock,new,https://www.beelittle.in/store/item/Cranberry+-+1?id=58,https://www.beelittle.in/aalam/stock/item/58/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,244.3 INR,349.0 INR
01-HERJ-03-003 - 1,Dusty Orchid - 1-Herbal Dyed Organic Cotton Jabla,Dusty Orchid - 1-Herbal Dyed Organic Cotton Jabla,out of stock,new,https://www.beelittle.in/store/item/Dusty+Orchid+-+1?id=59,https://www.beelittle.in/aalam/stock/item/59/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,279.3 INR,399.0 INR
