id,title,description,availability,condition,link,image_link,brand,google_product_category,size,price
02-HEJS-612-002-1,Cranberry - 1-Shorts,Cranberry - 1-Shorts,out of stock,new,https://www.beelittle.in/store/item/Cranberry+-+1?id=66,https://www.beelittle.in/aalam/stock/item/66/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,6-12M,649.0 INR
02-HEJS-36-003-1,Dusty Orchid - 1-Shorts,Dusty Orchid - 1-Shorts,out of stock,new,https://www.beelittle.in/store/item/Dusty+Orchid+-+1?id=67,https://www.beelittle.in/aalam/stock/item/67/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,3-6M,599.0 INR
02-HEJS-612-003-1,Dusty Orchid - 1-Shorts,Dusty Orchid - 1-Shorts,out of stock,new,https://www.beelittle.in/store/item/Dusty+Orchid+-+1?id=68,https://www.beelittle.in/aalam/stock/item/68/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,6-12M,649.0 INR
02-HEJS-36-004-1,Kasam Putty - 1-Shorts,Kasam Putty - 1-Shorts,out of stock,new,https://www.beelittle.in/store/item/Kasam+Putty+-+1?id=69,https://www.beelittle.in/aalam/stock/item/69/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,3-6M,599.0 INR
02-HEJS-612-004-1,Kasam Putty - 1-Shorts,Kasam Putty - 1-Shorts,out of stock,new,https://www.beelittle.in/store/item/Kasam+Putty+-+1?id=70,https://www.beelittle.in/aalam/stock/item/70/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,6-12M,649.0 INR
1-FFR-36-211,Pink Dots,Pink Dots,out of stock,new,https://www.beelittle.in/store/item/Pink+Dots?id=71,https://www.beelittle.in/aalam/stock/item/71/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,3-6M,429.0 INR
1-FFR-12-211,Pink Dots,Pink Dots,out of stock,new,https://www.beelittle.in/store/item/Pink+Dots?id=72,https://www.beelittle.in/aalam/stock/item/72/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,1-2Y,449.0 INR
1-FFR-612-211,Pink Dots,Pink Dots,out of stock,new,https://www.beelittle.in/store/item/Pink+Dots?id=73,https://www.beelittle.in/aalam/stock/item/73/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,6-12M,429.0 INR
1-FFR-23-211,Pink Dots,Pink Dots,out of stock,new,https://www.beelittle.in/store/item/Pink+Dots?id=74,https://www.beelittle.in/aalam/stock/item/74/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,2-3Y,449.0 INR
1-FFR-36-212,Peter rabbit,Peter rabbit,out of stock,new,https://www.beelittle.in/store/item/Peter+rabbit?id=75,https://www.beelittle.in/aalam/stock/item/75/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,3-6M,429.0 INR
1-FFR-12-212,Peter rabbit,Peter rabbit,out of stock,new,https://www.beelittle.in/store/item/Peter+rabbit?id=76,https://www.beelittle.in/aalam/stock/item/76/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,1-2Y,449.0 INR
1-FFR-612-212,Peter rabbit,Peter rabbit,out of stock,new,https://www.beelittle.in/store/item/Peter+rabbit?id=77,https://www.beelittle.in/aalam/stock/item/77/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,6-12M,429.0 INR
1-FFR-23-212,Peter rabbit,Peter rabbit,out of stock,new,https://www.beelittle.in/store/item/Peter+rabbit?id=78,https://www.beelittle.in/aalam/stock/item/78/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,2-3Y,449.0 INR
1-FFR-36-213,Brown Flowers,Brown Flowers,out of stock,new,https://www.beelittle.in/store/item/Brown+Flowers?id=79,https://www.beelittle.in/aalam/stock/item/79/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,3-6M,429.0 INR
